[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:21.180] T4 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:21.180] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:21.181] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:21.197] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:21.200] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:21.201] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.281] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:21.282] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:21.282] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:21.283] T5 | Marcado: [0,0,1,2,0,0,0,1,0,0,0,0]
[20:00:21.284] T6 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.302] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:21.303] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:21.365] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:21.366] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:21.367] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:21.384] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:21.466] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.468] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:21.469] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:21.550] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:21.552] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:21.553] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:21.621] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
